日期,訊號日期,持倉,賣出價,買入價,momentum,資產,回撤,日回報
2010-01-05,2010-01-04,CASH,,,,100000.0,0.0,0.0
2010-07-07,2010-07-06,AVGO,,1.523313045501709,0.10657448693116844,103833.27814670434,0.0,0.03833278146704333
2010-09-08,2010-09-07,AMZN,1.4115430116653442,6.956999778747559,0.0652072779520152,99990.24986829663,-0.08913315393828358,0.013992088158926164
2010-10-07,2010-10-06,AVGO,7.813499927520752,1.608371376991272,0.1084578319941556,114682.59509530607,-0.007988322620352872,0.02692997343773329
2010-10-13,2010-10-12,AMZN,1.5465114116668701,7.758500099182129,0.08455775404020982,109447.97980730221,-0.05326807486152274,-0.008371649227025824
2010-10-20,2010-10-19,GOOG,7.933499813079834,15.01039981842041,0.09657229432396597,111944.30540126974,-0.036023057812708204,0.0002468914554585311
2010-10-22,2010-10-21,AMZN,15.122734069824219,8.456500053405762,0.14857619139406353,115524.12753485849,-0.005196425037226948,0.02521672866291702
2010-10-25,2010-10-22,GOOG,8.449999809265137,15.220747947692871,0.15215188523278766,116272.8656714153,0.0,0.00648122736378931
2010-10-26,2010-10-25,AMZN,15.272595405578613,8.4975004196167,0.1899732444723552,116926.47895086906,0.0,0.005621374132988688
2011-01-06,2011-01-05,NVDA,9.293000221252441,0.44252046942710876,0.646945064380392,146791.75734064355,0.0,0.13839778302387296
2011-05-17,2011-05-16,AVGO,0.40360260009765625,2.4216818809509277,0.3390262856021604,134452.74437984344,-0.3105468069473549,0.0002916003442479109
2011-05-19,2011-05-18,NVDA,2.459841251373291,0.4070364236831665,0.41935534752722625,133906.97964312354,-0.3133454053852124,-0.014412738942856107
2011-05-20,2011-05-19,AVGO,0.4141332507133484,2.4301624298095703,0.4224651764038909,132291.34637705554,-0.32163012667692326,-0.012065340211345532
2011-05-24,2011-05-23,NVDA,2.240780830383301,0.415277898311615,0.31418222656812156,123690.18581598684,-0.3657355678870643,0.0038736672539352313
2011-06-07,2011-06-06,AVGO,0.4134465157985687,2.4061357975006104,0.2619535986609218,125874.58404447736,-0.354534306503536,0.021602316021915202
2011-07-28,2011-07-27,AMZN,2.4542837142944336,11.194999694824219,0.2687155122942373,125422.85329582478,-0.3568507129740407,0.006201625737788152
2011-08-19,2011-08-18,CASH,8.946499824523926,,,102242.87995493258,-0.47571408544343297,0.0
2011-08-24,2011-08-23,AMZN,,9.68649959564209,0.0954833792501879,102337.96318925737,-0.4752265131010954,0.0009299741396828765
2011-10-27,2011-10-26,GOOG,10.33899974822998,14.780543327331543,0.0898562781200718,107014.28384872756,-0.45124705306641333,0.021080940235048917
